                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.1904,                 1.2096,                 1.6503,                0.81165,                0.71212,                0.77232,                0.53405,                  1.297,                 1.2744,                 1.8966,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.1994,                 1.1703,                 1.6592,                0.83684,                0.69943,                0.75505,                0.51086,                 1.3308,                 1.3206,                 1.9764,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.1899,                 1.1822,                 1.6564,                0.80797,                0.65909,                0.74402,                0.51295,                 1.2799,                 1.3068,                 1.9117,               0.000515,               0.000515,               0.000515
                     78,                  1.193,                  1.192,                 1.6537,                0.78193,                0.65152,                0.72495,                0.49118,                 1.2734,                 1.3839,                  1.884,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1963,                 1.1681,                 1.6518,                0.84253,                0.65909,                0.76956,                0.52247,                 1.2923,                 1.2517,                 1.9233,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1748,                 1.1714,                 1.6362,                0.87619,                0.64337,                0.77366,                0.53892,                 1.2094,                 1.2758,                 1.8197,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1642,                 1.1564,                 1.6505,                0.88899,                0.66667,                0.79243,                0.54658,                 1.1899,                 1.1983,                 1.8362,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.1574,                 1.1187,                 1.6058,                0.89001,                0.70455,                0.79278,                0.54945,                 1.2088,                  1.154,                 1.8346,               0.000416,               0.000416,               0.000416
                     83,                 1.1444,                 1.1109,                 1.6076,                0.88609,                0.68182,                0.77806,                0.52374,                 1.2881,                 1.2111,                  1.891,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.1461,                 1.1436,                 1.5949,                0.89061,                0.69697,                0.79332,                0.54209,                 1.2222,                 1.1925,                 1.8495,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.1402,                 1.1136,                 1.6136,                0.90039,                0.68481,                0.78988,                0.53311,                 1.2666,                 1.2077,                 1.9087,              0.0003566,              0.0003566,              0.0003566
                     86,                  1.111,                 1.0963,                 1.5803,                 0.8479,                0.67424,                0.76457,                0.53712,                  1.243,                 1.2137,                 1.8735,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.1175,                 1.0875,                 1.6037,                0.79572,                 0.7197,                0.78173,                0.54245,                 1.2687,                 1.2199,                 1.8855,               0.000317,               0.000317,               0.000317
                     88,                 1.1441,                 1.1095,                 1.6103,                0.89709,                0.69697,                  0.801,                0.54423,                 1.2271,                 1.1516,                  1.864,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1031,                 1.0806,                 1.5824,                0.89965,                0.67922,                0.78901,                0.54319,                 1.2151,                 1.1696,                 1.8498,              0.0002774,              0.0002774,              0.0002774
                     90,                  1.098,                 1.0754,                 1.5821,                0.86117,                 0.7197,                0.79979,                0.54251,                 1.2103,                 1.1294,                 1.8793,              0.0002576,              0.0002576,              0.0002576
                     91,                  1.025,                0.97973,                 1.5031,                0.85942,                0.68182,                0.78459,                0.53976,                 1.2307,                 1.1821,                 1.8763,              0.0002378,              0.0002378,              0.0002378
                     92,                0.98854,                0.92492,                 1.4846,                0.83096,                0.67424,                0.76568,                 0.5274,                 1.1984,                 1.2235,                 1.8603,               0.000218,               0.000218,               0.000218
                     93,                0.98328,                0.87872,                 1.4708,                0.84085,                0.68046,                 0.7685,                0.53565,                 1.1866,                 1.1918,                 1.8301,              0.0001982,              0.0001982,              0.0001982
                     94,                0.97547,                0.86423,                 1.4512,                0.83806,                0.68182,                0.78524,                0.55476,                 1.1686,                 1.1316,                 1.8157,              0.0001784,              0.0001784,              0.0001784
                     95,                0.96094,                0.84625,                 1.4469,                0.87534,                0.67424,                0.78187,                0.54243,                 1.1825,                 1.1339,                  1.848,              0.0001586,              0.0001586,              0.0001586
                     96,                0.95342,                0.85526,                 1.4394,                 0.8732,                 0.6782,                0.78429,                0.53867,                 1.2039,                 1.1559,                 1.8656,              0.0001388,              0.0001388,              0.0001388
                     97,                0.94431,                0.84789,                 1.4287,                0.89242,                0.68182,                0.78378,                0.54236,                 1.1992,                 1.1452,                  1.863,               0.000119,               0.000119,               0.000119
                     98,                0.93774,                0.83715,                  1.435,                0.89213,                0.67424,                0.78611,                0.55132,                 1.1661,                  1.134,                 1.8276,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.92757,                0.81263,                 1.4286,                0.87812,                0.68182,                0.78198,                0.54068,                 1.2013,                 1.1718,                 1.8634,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.92119,                0.80097,                 1.4071,                0.88537,                0.71212,                0.78683,                0.54705,                 1.1747,                 1.1555,                 1.8326,               5.96e-05,               5.96e-05,               5.96e-05
